True Amplitude,Delta,Theta,Low Alpha,High Alpha,Low Beta,High Beta,Low Gamma,Mid Gamma
2600,3.393850090061908e-06,6.568153310315958e-06,5.2389808743095946e-05,8.763763753220747e-05,6.086366401613301e-05,0.00011032649296531093,0.00013726065990341202,8.830851462430947e-05
2700,3.3968544919977004e-06,6.729747835961437e-06,5.242701495824788e-05,8.936331662416995e-05,6.020272298456491e-05,0.00011139983247271299,0.00013014224255361953,8.257484684429324e-05
2800,3.3998023797246984e-06,6.892970569003441e-06,5.240399506259699e-05,9.091972535019251e-05,5.962393194388368e-05,0.00011211918664280123,0.00012358537633493156,8.100346619210529e-05
2900,3.4026936077390683e-06,7.057582981642522e-06,5.2322160907352456e-05,9.230140847445467e-05,5.9144192344935947e-05,0.0001125467072988499,0.0001176095955872396,8.158583161184875e-05
3000,3.4055280355668095e-06,7.223337501219954e-06,5.2182940416880175e-05,9.350354381529775e-05,5.8776644378054104e-05,0.00011275271057767388,0.00011212681735266334,8.278431072817743e-05
3100,3.4083055277856966e-06,7.3899786317361805e-06,5.1987768947859903e-05,9.45217853910928e-05,5.8531021347311064e-05,0.00011281025639657499,0.00010699369473149324,8.37882093355051e-05
3200,3.411025954045558e-06,7.557244152576161e-06,5.173808833558225e-05,9.535212590737268e-05,5.841406294586348e-05,0.00011278956162631122,0.00010207137079191999,8.452281821602632e-05
3300,3.4136891890893832e-06,7.724866385387584e-06,5.1435353160150854e-05,9.599079222774928e-05,5.8429924699815673e-05,0.00011275280739060323,9.727504782578744e-05,8.543259186593287e-05
3400,3.416295112770998e-06,7.892573519092523e-06,5.108104347452433e-05,9.643418633438072e-05,5.858053071903025e-05,0.00011274984781920865,9.260079503283496e-05,8.71546300661764e-05
3500,3.418843610075138e-06,8.060090982148931e-06,5.067668299172564e-05,9.667888209172811e-05,5.8865831777767336e-05,0.00011281520542711034,8.812528748403223e-05,9.023504079257978e-05
3600,3.421334571134057e-06,8.227142850421509e-06,5.022386153896767e-05,9.672168490242912e-05,5.9283948761468127e-05,0.00011296656698633484,8.398236603823371e-05,9.497647710602216e-05
3700,3.4237678912454268e-06,8.393453278377622e-06,4.972426045768449e-05,9.655975722058893e-05,5.983120053736179e-05,0.00011320480155943784,8.032564651648027e-05,0.00010139423399315647
3800,3.4261434708886367e-06,8.558747940800423e-06,4.917967956260247e-05,9.619080811277072e-05,6.050203321228178e-05,0.0001135153404540275,7.728778032761776e-05,0.00010919078323438214
3900,3.4284612157392644e-06,8.722755471869311e-06,4.8592064268900984e-05,9.56133399739747e-05,6.128888263033919e-05,0.00011387061535658067,7.494514494550259e-05,0.00011768387886676912
4000,3.4307210366853624e-06,8.88520888820237e-06,4.79635315499765e-05,9.482694052623037e-05,6.218201234513267e-05,0.00011423316564283424,7.329359368079789e-05,0.00012572270316021946
4100,3.432922849841088e-06,9.045846982414326e-06,4.7296393492374476e-05,9.383260378866572e-05,6.316937423231063e-05,0.00011455900702045275,7.223817152494753e-05,0.0001317259014931048
4200,3.4350665765587587e-06,9.204415673825562e-06,4.6593177360253775e-05,9.26330602278646e-05,6.423653806205795e-05,0.00011480089691510242,7.159808569638674e-05,0.00013398005313412084
4300,3.437152143443686e-06,9.360669303221553e-06,4.585664125898066e-05,9.123309412617529e-05,6.53667300214753e-05,0.0001149112223018561,7.112716125735957e-05,0.000131198042584678
4400,3.4391794823638946e-06,9.514371858977452e-06,4.508978468526011e-05,8.963982558632672e-05,6.654100921772368e-05,0.00011484435103363554,7.054842106318e-05,0.00012312196098975505
4500,3.4411485304620108e-06,9.665298122443529e-06,4.429585345876209e-05,8.786293562845413e-05,6.773859690208927e-05,0.00011455840418641144,6.959868287722708e-05,0.00011083474071441422
4600,3.443059230165418e-06,9.813234721240592e-06,4.347833873737968e-05,8.591481548428309e-05,6.893735712141627e-05,0.0001140165035204759,6.807569289058132e-05,9.65494944374905e-05
4700,3.4449115291960873e-06,9.957981079979988e-06,4.264097001612999e-05,8.381062525803663e-05,7.011441143057429e-05,0.00011318761058111257,6.587787255901306e-05,8.292403492500262e-05
4800,3.44670538057832e-06,1.0099350258986722e-05,4.178770219100248e-05,8.156825228057209e-05,7.12468558310887e-05,0.00011204709668221573,6.302695551912634e-05,7.219854182980525e-05
4900,3.4484407426477745e-06,1.0237169672740725e-05,4.092269692822773e-05,7.920816531248013e-05,7.231253665718602e-05,0.00011057716914004042,5.966738963312271e-05,6.55164180581179e-05
5000,3.4501175790573926e-06,1.037128168106206e-05,4.005029871308958e-05,7.675316678086957e-05,7.329083478020081e-05,0.0001087672385522479,5.6042531294242416e-05,6.26742196303299e-05
5100,3.4517358587855182e-06,1.0501544047439201e-05,3.9175006058740705e-05,7.422805098602352e-05,7.416340487315226e-05,0.00010661425834131941,5.2454157860619226e-05,6.237019908866371e-05
5200,3.4532955561392687e-06,1.0627830260393e-05,3.830143843471055e-05,7.165918125200378e-05,7.491481871580889e-05,0.00010412301533739027,4.921611713768921e-05,6.285220641635234e-05
5300,3.4547966507613533e-06,1.0750029715310884e-05,3.743429952842712e-05,6.907400296532382e-05,7.553306830128722e-05,0.00010130631054680121,4.661335413280956e-05,6.271224973989038e-05
5400,3.456239127632645e-06,1.0868047755807524e-05,3.657833748380744e-05,6.650051210522959e-05,7.60098950832584e-05,9.818494974695248e-05,4.487410056356873e-05,6.148029767052815e-05
5500,3.4576229770764735e-06,1.0981805575291722e-05,3.57383027723757e-05,6.396670010298187e-05,7.63409250077064e-05,9.478746639651341e-05,4.4157281200778914e-05,5.973156416107992e-05
5600,3.4589481947604888e-06,1.1091239981083807e-05,3.49189043483672e-05,6.149999569171452e-05,7.652560372531433e-05,9.114952211796096e-05,4.455159548196653e-05,5.86662021491615e-05
5700,3.460214781698385e-06,1.1196303025081553e-05,3.412476472400105e-05,5.912672295948927e-05,7.656694122398044e-05,8.731296681076249e-05,4.607943429336487e-05,5.94098346056303e-05
5800,3.461422744250673e-06,1.1296961506556125e-05,3.336037457854219e-05,5.687159233129689e-05,7.647108875564616e-05,8.33245835407369e-05,4.869887324953161e-05,6.241281675369081e-05
5900,3.462572094125632e-06,1.1393196354276396e-05,3.2630047488485886e-05,5.475723798615997e-05,7.624678223136998e-05,7.923458469898017e-05,5.230015108906349e-05,6.721780847730952e-05
6000,3.463662848377618e-06,1.1485001896609474e-05,3.1937875339221445e-05,5.280381160480338e-05,7.590469436791283e-05,7.50949585276143e-05,5.6697854322403697e-05,7.263069912199257e-05
6100,3.464695029406162e-06,1.1572385029666853e-05,3.128768495324891e-05,5.1028638685415624e-05,7.54567422656824e-05,7.095778388553446e-05,6.162447420859914e-05,7.714352362289717e-05
6200,3.465668664953515e-06,1.1655364294868164e-05,3.0682996448122374e-05,4.944594027505875e-05,7.491539762123036e-05,6.687363340284963e-05,6.673319556840625e-05,7.940421086645142e-05
6300,3.466583788101584e-06,1.1733968878428546e-05,3.0126983819552845e-05,4.8066620102421326e-05,7.429304361906184e-05,6.289017084191728e-05,7.161661481526445e-05,7.857509342649215e-05
6400,3.4674404372687454e-06,1.1808237546312744e-05,2.9622438231892166e-05,4.6898114950076303e-05,7.360141620957345e-05,5.9051019889688144e-05,7.584368634054295e-05,7.450044029544043e-05
6500,3.468238656204356e-06,1.1878217529041013e-05,2.9171734488727243e-05,4.594430477195679e-05,7.28511587057694e-05,5.539494319970532e-05,7.901097664201225e-05,6.767297379626602e-05
6600,3.468978493983886e-06,1.1943963371406488e-05,2.8776801149637523e-05,4.5205478556045985e-05,7.205150831841433e-05,5.1955328273837184e-05,8.079855703503639e-05,5.904313086788256e-05
