True Amplitude,Delta,Theta,Low Alpha,High Alpha,Low Beta,High Beta,Low Gamma,Mid Gamma
5000,3.4470271493708428e-06,1.9735266116619548e-05,5.278359584618998e-05,6.222979586632903e-05,6.870624373494027e-05,7.45557013405411e-05,7.109156623951714e-05,5.955739211803111e-05
5100,3.4495726219169387e-06,1.9793710660451427e-05,5.2145216208640024e-05,6.121464798622503e-05,6.789827708483855e-05,7.089435158651786e-05,6.898357518816863e-05,5.9740521564709526e-05
5200,3.452108348935393e-06,1.984626984075572e-05,5.1552836823028824e-05,6.021392210589345e-05,6.718766537506224e-05,6.745989539308783e-05,6.677998475537793e-05,5.902274872546708e-05
5300,3.454634313344362e-06,1.98929803816799e-05,5.100693245690225e-05,5.923550067533571e-05,6.657212200195303e-05,6.428492578741046e-05,6.465376920436091e-05,5.744313192382046e-05
5400,3.4571504981812616e-06,1.9933890150308678e-05,5.050723535608554e-05,5.828595897267391e-05,6.604593810300623e-05,6.13828520341781e-05,6.265025705226087e-05,5.521995933013918e-05
5500,3.459656886603028e-06,1.9969058039619197e-05,5.005272705913216e-05,5.737041905883545e-05,6.560022138715623e-05,5.8750809637663924e-05,6.0704685403941014e-05,5.272841832645076e-05
5600,3.462153461886353e-06,1.9998553818871518e-05,4.9641648950308646e-05,5.649241985134928e-05,6.522323084470295e-05,5.637189184810059e-05,5.870476911291365e-05,5.05556688547713e-05
5700,3.464640207427933e-06,2.002245795181394e-05,4.927152994493013e-05,5.565380300861258e-05,6.490081135154406e-05,5.421709131580047e-05,5.655461929900148e-05,4.9565947315756625e-05
5800,3.4671171067447057e-06,2.0040861383200365e-05,4.8939229156113187e-05,5.485462370413304e-05,6.461692780854491e-05,5.2247794990767386e-05,5.4212387164662975e-05,5.0614447333848424e-05
5900,3.469584143474084e-06,2.0053865294233488e-05,4.864099106086683e-05,5.409310350848652e-05,6.435429161871164e-05,5.0419594994062306e-05,5.1696860411324905e-05,5.363006183638051e-05
6000,3.472041301374194e-06,2.0061580827661534e-05,4.837251052983008e-05,5.336564765098194e-05,6.409506375568034e-05,4.868761309747762e-05,4.9072493825536283e-05,5.6839048212385794e-05
6100,3.4744885643241074e-06,2.0064128783367847e-05,4.8129005083675315e-05,5.266694959081179e-05,6.382160950598821e-05,4.7012747132816006e-05,4.6425561796789126e-05,5.766167006436339e-05
6200,3.476925916324063e-06,2.0061639285400638e-05,4.7905291880586374e-05,5.199020152022094e-05,6.351727144225917e-05,4.536759344882125e-05,4.384124036792088e-05,5.5013395297664004e-05
6300,3.4793533414957046e-06,2.0054251421495126e-05,4.7695867226992146e-05,5.1327420425489045e-05,6.316712056769171e-05,4.3740581909741196e-05,4.138733032173513e-05,5.0276689969970926e-05
